,0
49,"And Joseph fell upon his father's face, and wept upon him, and kissed him.  And Joseph commanded his servants the physicians to embalm his father And forty days were fulfilled for him; for so are fulfilled the days of those which are embalmed And when the days of his mourning were past, Joseph spake unto the house of Pharaoh, saying, If now I have found grace in your eyes, speak, I pray you, in the ears of Pharaoh, saying,  And Pharaoh said, Go up, and bury thy father, according as he made thee swear.  And Joseph went up to bury his father And there went up with him both chariots and horsemen And they came to the threshingfloor of Atad, which is beyond Jordan, and there they mourned with a great and very sore lamentation And when the inhabitants of the land, the Canaanites, saw the mourning in the floor of Atad, they said, This is a grievous mourning to the Egyptians And his sons did unto him according as he commanded them And Joseph returned into Egypt, he, and his brethren, and all that went up with him to bury his father, after he had buried his father.  And when Joseph's brethren saw that their father was dead, they said, Joseph will peradventure hate us, and will certainly requite us all the evil which we did unto him.  And they sent a messenger unto Joseph, saying, Thy father did command before he died, saying,  And his brethren also went and fell down before his face; and they said, Behold, we be thy servants.  And Joseph said unto them, Fear not Now therefore fear ye not And Joseph dwelt in Egypt, he, and his father's house And Joseph saw Ephraim's children of the third generation And Joseph said unto his brethren, I die And Joseph took an oath of the children of Israel, saying, God will surely visit you, and ye shall carry up my bones from hence.  So Joseph died, being an hundred and ten years old "
50,"Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.  Reuben, Simeon, Levi, and Judah,  And all the souls that came out of the loins of Jacob were seventy souls And Joseph died, and all his brethren, and all that generation.  And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.  Now there arose up a new king over Egypt, which knew not Joseph.  And he said unto his people, Behold, the people of the children of Israel are more and mightier than we Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.  But the more they afflicted them, the more they multiplied and grew.  And the Egyptians made the children of Israel to serve with rigour And the king of Egypt spake to the Hebrew midwives, of which the name of the one was Shiphrah, and the name of the other Puah But the midwives feared God, and did not as the king of Egypt commanded them, but saved the men children alive.  And the king of Egypt called for the midwives, and said unto them, Why have ye done this thing, and have saved the men children alive?  Therefore God dealt well with the midwives And it came to pass, because the midwives feared God, that he made them houses.  And Pharaoh charged all his people, saying, Every son that is born ye shall cast into the river, and every daughter ye shall save alive.  "
51,"And there went a man of the house of Levi, and took to wife a daughter of Levi.  And the woman conceived, and bare a son And when she could not longer hide him, she took for him an ark of bulrushes, and daubed it with slime and with pitch, and put the child therein; and she laid it in the flags by the river's brink.  And his sister stood afar off, to wit what would be done to him.  And the daughter of Pharaoh came down to wash herself at the river; and her maidens walked along by the river's side; and when she saw the ark among the flags, she sent her maid to fetch it.  And when she had opened it, she saw the child Then said his sister to Pharaoh's daughter, Shall I go and call to thee a nurse of the Hebrew women, that she may nurse the child for thee?  And Pharaoh's daughter said unto her, Take this child away, and nurse it for me, and I will give thee thy wages. And the women took the child, and nursed it.  And the child grew, and she brought him unto Pharaoh's daughter, and he became her son. And she called his name Moses And it came to pass in those days, when Moses was grown, that he went out unto his brethren, and looked on their burdens And he looked this way and that way, and when he saw that there was no man, he slew the Egyptian, and hid him in the sand.  And when he went out the second day, behold, two men of the Hebrews strove together Now when Pharaoh heard this thing, he sought to slay Moses. But Moses fled from the face of Pharaoh, and dwelt in the land of Midian Now the priest of Midian had seven daughters And the shepherds came and drove them away And when they came to Reuel their father, he said, How is it that ye are come so soon to day?  And he said unto his daughters, And where is he? why is it that ye have left the man? call him, that he may eat bread.  And Moses was content to dwell with the man And she bare him a son, and he called his name Gershom And it came to pass in process of time, that the king of Egypt died And God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob.  And God looked upon the children of Israel, and God had respect unto them.  "
52,"Now Moses kept the flock of Jethro his father in law, the priest of Midian And the angel of the LORD appeared unto him in a flame of fire out of the midst of a bush And Moses said, I will now turn aside, and see this great sight, why the bush is not burnt.  And when the LORD saw that he turned aside to see, God called unto him out of the midst of the bush, and said, Moses, Moses. And he said, Here am I.  And he said, Draw not nigh hither Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God.  And the LORD said, I have surely seen the affliction of my people which are in Egypt, and have heard their cry by reason of their taskmasters; for I know their sorrows;  Now therefore, behold, the cry of the children of Israel is come unto me Come now therefore, and I will send thee unto Pharaoh, that thou mayest bring forth my people the children of Israel out of Egypt.  And Moses said unto God, Who am I, that I should go unto Pharaoh, and that I should bring forth the children of Israel out of Egypt?  And Moses said unto God, Behold, when I come unto the children of Israel, and shall say unto them, The God of your fathers hath sent me unto you; and they shall say to me, What is his name? what shall I say unto them?  And God said moreover unto Moses, Thus shalt thou say unto the children of Israel, the LORD God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath sent me unto you Go, and gather the elders of Israel together, and say unto them, The LORD God of your fathers, the God of Abraham, of Isaac, and of Jacob, appeared unto me, saying, I have surely visited you, and seen that which is done to you in Egypt And they shall hearken to thy voice And I am sure that the king of Egypt will not let you go, no, not by a mighty hand.  And I will stretch out my hand, and smite Egypt with all my wonders which I will do in the midst thereof And I will give this people favour in the sight of the Egyptians But every woman shall borrow of her neighbour, and of her that sojourneth in her house, jewels of silver, and jewels of gold, and raiment "
53,"And Moses answered and said, But, behold, they will not believe me, nor hearken unto my voice And the LORD said unto him, What is that in thine hand? And he said, A rod.  And he said, Cast it on the ground. And he cast it on the ground, and it became a serpent; and Moses fled from before it.  And the LORD said unto Moses, Put forth thine hand, and take it by the tail. And he put forth his hand, and caught it, and it became a rod in his hand And the LORD said furthermore unto him, Put now thine hand into thy bosom. And he put his hand into his bosom And he said, Put thine hand into thy bosom again. And he put his hand into his bosom again; and plucked it out of his bosom, and, behold, it was turned again as his other flesh.  And it shall come to pass, if they will not believe thee, neither hearken to the voice of the first sign, that they will believe the voice of the latter sign.  And it shall come to pass, if they will not believe also these two signs, neither hearken unto thy voice, that thou shalt take of the water of the river, and pour it upon the dry land And Moses said unto the LORD, O my LORD, I am not eloquent, neither heretofore, nor since thou hast spoken unto thy servant And the LORD said unto him, Who hath made man's mouth? or who maketh the dumb, or deaf, or the seeing, or the blind? have not I the LORD?  And he said, O my LORD, send, I pray thee, by the hand of him whom thou wilt send.  And the anger of the LORD was kindled against Moses, and he said, Is not Aaron the Levite thy brother? I know that he can speak well. And also, behold, he cometh forth to meet thee And thou shalt speak unto him, and put words in his mouth And he shall be thy spokesman unto the people And thou shalt take this rod in thine hand, wherewith thou shalt do signs.  And Moses went and returned to Jethro his father in law, and said unto him, Let me go, I pray thee, and return unto my brethren which are in Egypt, and see whether they be yet alive. And Jethro said to Moses, Go in peace.  And the LORD said unto Moses in Midian, Go, return into Egypt And Moses took his wife and his sons, and set them upon an ass, and he returned to the land of Egypt And the LORD said unto Moses, When thou goest to return into Egypt, see that thou do all those wonders before Pharaoh, which I have put in thine hand And thou shalt say unto Pharaoh, Thus saith the LORD, Israel is my son, even my firstborn And it came to pass by the way in the inn, that the LORD met him, and sought to kill him.  Then Zipporah took a sharp stone, and cut off the foreskin of her son, and cast it at his feet, and said, Surely a bloody husband art thou to me.  So he let him go And the LORD said to Aaron, Go into the wilderness to meet Moses. And he went, and met him in the mount of God, and kissed him.  And Moses told Aaron all the words of the LORD who had sent him, and all the signs which he had commanded him.  And Moses and Aaron went and gathered together all the elders of the children of Israel And the people believed "
54,"And afterward Moses and Aaron went in, and told Pharaoh, Thus saith the LORD God of Israel, Let my people go, that they may hold a feast unto me in the wilderness.  And Pharaoh said, Who is the LORD, that I should obey his voice to let Israel go? I know not the LORD, neither will I let Israel go.  And they said, The God of the Hebrews hath met with us And the king of Egypt said unto them, Wherefore do ye, Moses and Aaron, let the people from their works? get you unto your burdens.  And Pharaoh said, Behold, the people of the land now are many, and ye make them rest from their burdens.  And Pharaoh commanded the same day the taskmasters of the people, and their officers, saying,  And the tale of the bricks, which they did make heretofore, ye shall lay upon them; ye shall not diminish ought thereof Let there more work be laid upon the men, that they may labour therein; and let them not regard vain words.  And the taskmasters of the people went out, and their officers, and they spake to the people, saying, Thus saith Pharaoh, I will not give you straw.  Go ye, get you straw where ye can find it So the people were scattered abroad throughout all the land of Egypt to gather stubble instead of straw.  And the taskmasters hasted them, saying, Fulfil your works, your daily tasks, as when there was straw.  And the officers of the children of Israel, which Pharaoh's taskmasters had set over them, were beaten, and demanded, Wherefore have ye not fulfilled your task in making brick both yesterday and to day, as heretofore?  But he said, Ye are idle, ye are idle Go therefore now, and work; for there shall no straw be given you, yet shall ye deliver the tale of bricks.  And the officers of the children of Israel did see that they were in evil case, after it was said, Ye shall not minish ought from your bricks of your daily task.  And they met Moses and Aaron, who stood in the way, as they came forth from Pharaoh And Moses returned unto the LORD, and said, LORD, wherefore hast thou so evil entreated this people? why is it that thou hast sent me?  "
55,"Then the LORD said unto Moses, Now shalt thou see what I will do to Pharaoh And God spake unto Moses, and said unto him, I am the LORD And I have also established my covenant with them, to give them the land of Canaan, the land of their pilgrimage, wherein they were strangers.  And I have also heard the groaning of the children of Israel, whom the Egyptians keep in bondage; and I have remembered my covenant.  Wherefore say unto the children of Israel, I am the LORD, and I will bring you out from under the burdens of the Egyptians, and I will rid you out of their bondage, and I will redeem you with a stretched out arm, and with great judgments And I will bring you in unto the land, concerning the which I did swear to give it to Abraham, to Isaac, and to Jacob; and I will give it you for an heritage And Moses spake so unto the children of Israel And the LORD spake unto Moses, saying,  And Moses spake before the LORD, saying, Behold, the children of Israel have not hearkened unto me; how then shall Pharaoh hear me, who am of uncircumcised lips?  These be the heads of their fathers' houses And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman And these are the names of the sons of Levi according to their generations; Gershon, and Kohath, and Merari The sons of Gershon; Libni, and Shimi, according to their families.  And the sons of Kohath; Amram, and Izhar, and Hebron, and Uzziel And the sons of Merari; Mahali and Mushi And Amram took him Jochebed his father's sister to wife; and she bare him Aaron and Moses And the sons of Izhar; Korah, and Nepheg, and Zichri.  And the sons of Uzziel; Mishael, and Elzaphan, and Zithri.  And Aaron took him Elisheba, daughter of Amminadab, sister of Naashon, to wife; and she bare him Nadab, and Abihu, Eleazar, and Ithamar.  And the sons of Korah; Assir, and Elkanah, and Abiasaph And Eleazar Aaron's son took him one of the daughters of Putiel to wife; and she bare him Phinehas These are that Aaron and Moses, to whom the LORD said, Bring out the children of Israel from the land of Egypt according to their armies.  These are they which spake to Pharaoh king of Egypt, to bring out the children of Israel from Egypt And it came to pass on the day when the LORD spake unto Moses in the land of Egypt,  And Moses said before the LORD, Behold, I am of uncircumcised lips, and how shall Pharaoh hearken unto me?  "
56,"And the LORD said unto Moses, See, I have made thee a god to Pharaoh Thou shalt speak all that I command thee And I will harden Pharaoh's heart, and multiply my signs and my wonders in the land of Egypt.  But Pharaoh shall not hearken unto you, that I may lay my hand upon Egypt, and bring forth mine armies, and my people the children of Israel, out of the land of Egypt by great judgments.  And the Egyptians shall know that I am the LORD, when I stretch forth mine hand upon Egypt, and bring out the children of Israel from among them.  And Moses and Aaron did as the LORD commanded them, so did they.  And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.  And the LORD spake unto Moses and unto Aaron, saying,  And Moses and Aaron went in unto Pharaoh, and they did so as the LORD had commanded Then Pharaoh also called the wise men and the sorcerers For they cast down every man his rod, and they became serpents And he hardened Pharaoh's heart, that he hearkened not unto them; as the LORD had said.  And the LORD said unto Moses, Pharaoh's heart is hardened, he refuseth to let the people go.  Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river's brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand.  And thou shalt say unto him, The LORD God of the Hebrews hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness Thus saith the LORD, In this thou shalt know that I am the LORD And the fish that is in the river shall die, and the river shall stink; and the Egyptians shall lothe to drink of the water of the river.  And the LORD spake unto Moses, Say unto Aaron, Take thy rod, and stretch out thine hand upon the waters of Egypt, upon their streams, upon their rivers, and upon their ponds, and upon all their pools of water, that they may become blood; and that there may be blood throughout all the land of Egypt, both in vessels of wood, and in vessels of stone.  And Moses and Aaron did so, as the LORD commanded; and he lifted up the rod, and smote the waters that were in the river, in the sight of Pharaoh, and in the sight of his servants; and all the waters that were in the river were turned to blood.  And the fish that was in the river died; and the river stank, and the Egyptians could not drink of the water of the river; and there was blood throughout all the land of Egypt.  And the magicians of Egypt did so with their enchantments And Pharaoh turned and went into his house, neither did he set his heart to this also.  And all the Egyptians digged round about the river for water to drink; for they could not drink of the water of the river.  And seven days were fulfilled, after that the LORD had smitten the river.  "
57,"And the LORD spake unto Moses, Go unto Pharaoh, and say unto him, Thus saith the LORD, Let my people go, that they may serve me.  And if thou refuse to let them go, behold, I will smite all thy borders with frogs And the LORD spake unto Moses, Say unto Aaron, Stretch forth thine hand with thy rod over the streams, over the rivers, and over the ponds, and cause frogs to come up upon the land of Egypt.  And Aaron stretched out his hand over the waters of Egypt; and the frogs came up, and covered the land of Egypt.  And the magicians did so with their enchantments, and brought up frogs upon the land of Egypt.  Then Pharaoh called for Moses and Aaron, and said, Intreat the LORD, that he may take away the frogs from me, and from my people; and I will let the people go, that they may do sacrifice unto the LORD.  And Moses said unto Pharaoh, Glory over me And the frogs shall depart from thee, and from thy houses, and from thy servants, and from thy people; they shall remain in the river only.  And Moses and Aaron went out from Pharaoh And the LORD did according to the word of Moses; and the frogs died out of the houses, out of the villages, and out of the fields.  And they gathered them together upon heaps But when Pharaoh saw that there was respite, he hardened his heart, and hearkened not unto them; as the LORD had said.  And the LORD said unto Moses, Say unto Aaron, Stretch out thy rod, and smite the dust of the land, that it may become lice throughout all the land of Egypt.  And they did so; for Aaron stretched out his hand with his rod, and smote the dust of the earth, and it became lice in man, and in beast; all the dust of the land became lice throughout all the land of Egypt.  And the magicians did so with their enchantments to bring forth lice, but they could not Then the magicians said unto Pharaoh, This is the finger of God And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh; lo, he cometh forth to the water; and say unto him, Thus saith the LORD, Let my people go, that they may serve me.  Else, if thou wilt not let my people go, behold, I will send swarms of flies upon thee, and upon thy servants, and upon thy people, and into thy houses And I will sever in that day the land of Goshen, in which my people dwell, that no swarms of flies shall be there; to the end thou mayest know that I am the LORD in the midst of the earth.  And I will put a division between my people and thy people And the LORD did so; and there came a grievous swarm of flies into the house of Pharaoh, and into his servants' houses, and into all the land of Egypt And Pharaoh called for Moses and for Aaron, and said, Go ye, sacrifice to your God in the land.  And Moses said, It is not meet so to do; for we shall sacrifice the abomination of the Egyptians to the LORD our God And Pharaoh said, I will let you go, that ye may sacrifice to the LORD your God in the wilderness; only ye shall not go very far away And Moses said, Behold, I go out from thee, and I will intreat the LORD that the swarms of flies may depart from Pharaoh, from his servants, and from his people, to morrow And Moses went out from Pharaoh, and intreated the LORD.  And the LORD did according to the word of Moses; and he removed the swarms of flies from Pharaoh, from his servants, and from his people; there remained not one.  And Pharaoh hardened his heart at this time also, neither would he let the people go.  "
58,"Then the LORD said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.  For if thou refuse to let them go, and wilt hold them still,  And the LORD shall sever between the cattle of Israel and the cattle of Egypt And the LORD appointed a set time, saying, To morrow the LORD shall do this thing in the land.  And the LORD did that thing on the morrow, and all the cattle of Egypt died And Pharaoh sent, and, behold, there was not one of the cattle of the Israelites dead. And the heart of Pharaoh was hardened, and he did not let the people go.  And the LORD said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh.  And it shall become small dust in all the land of Egypt, and shall be a boil breaking forth with blains upon man, and upon beast, throughout all the land of Egypt.  And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth with blains upon man, and upon beast.  And the magicians could not stand before Moses because of the boils; for the boil was upon the magicians, and upon all the Egyptians.  And the LORD hardened the heart of Pharaoh, and he hearkened not unto them; as the LORD had spoken unto Moses.  And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh, and say unto him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.  For I will at this time send all my plagues upon thine heart, and upon thy servants, and upon thy people; that thou mayest know that there is none like me in all the earth.  For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and thou shalt be cut off from the earth.  And in very deed for this cause have I raised thee up, for to shew in thee my power; and that my name may be declared throughout all the earth.  As yet exaltest thou thyself against my people, that thou wilt not let them go?  Send therefore now, and gather thy cattle, and all that thou hast in the field; for upon every man and beast which shall be found in the field, and shall not be brought home, the hail shall come down upon them, and they shall die.  He that feared the word of the LORD among the servants of Pharaoh made his servants and his cattle flee into the houses And the LORD said unto Moses, Stretch forth thine hand toward heaven, that there may be hail in all the land of Egypt, upon man, and upon beast, and upon every herb of the field, throughout the land of Egypt.  And Moses stretched forth his rod toward heaven So there was hail, and fire mingled with the hail, very grievous, such as there was none like it in all the land of Egypt since it became a nation.  And the hail smote throughout all the land of Egypt all that was in the field, both man and beast; and the hail smote every herb of the field, and brake every tree of the field.  Only in the land of Goshen, where the children of Israel were, was there no hail.  And Pharaoh sent, and called for Moses and Aaron, and said unto them, I have sinned this time Intreat the LORD (for it is enough) that there be no more mighty thunderings and hail; and I will let you go, and ye shall stay no longer.  And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD's.  But as for thee and thy servants, I know that ye will not yet fear the LORD God.  And the flax and the barley was smitten But the wheat and the rie were not smitten And Moses went out of the city from Pharaoh, and spread abroad his hands unto the LORD And when Pharaoh saw that the rain and the hail and the thunders were ceased, he sinned yet more, and hardened his heart, he and his servants.  And the heart of Pharaoh was hardened, neither would he let the children of Israel go; as the LORD had spoken by Moses.  "
59,"And the LORD said unto Moses, Go in unto Pharaoh And Moses and Aaron came in unto Pharaoh, and said unto him, Thus saith the LORD God of the Hebrews, How long wilt thou refuse to humble thyself before me? let my people go, that they may serve me.  Else, if thou refuse to let my people go, behold, to morrow will I bring the locusts into thy coast And Pharaoh's servants said unto him, How long shall this man be a snare unto us? let the men go, that they may serve the LORD their God And he said unto them, Let the LORD be so with you, as I will let you go, and your little ones Not so And the LORD said unto Moses, Stretch out thine hand over the land of Egypt for the locusts, that they may come up upon the land of Egypt, and eat every herb of the land, even all that the hail hath left.  And Moses stretched forth his rod over the land of Egypt, and the LORD brought an east wind upon the land all that day, and all that night; and when it was morning, the east wind brought the locusts.  And the locust went up over all the land of Egypt, and rested in all the coasts of Egypt For they covered the face of the whole earth, so that the land was darkened; and they did eat every herb of the land, and all the fruit of the trees which the hail had left Then Pharaoh called for Moses and Aaron in haste; and he said, I have sinned against the LORD your God, and against you.  Now therefore forgive, I pray thee, my sin only this once, and intreat the LORD your God, that he may take away from me this death only.  And he went out from Pharaoh, and intreated the LORD.  And the LORD turned a mighty strong west wind, which took away the locusts, and cast them into the Red sea; there remained not one locust in all the coasts of Egypt.  But the LORD hardened Pharaoh's heart, so that he would not let the children of Israel go.  And the LORD said unto Moses, Stretch out thine hand toward heaven, that there may be darkness over the land of Egypt, even darkness which may be felt.  And Moses stretched forth his hand toward heaven; and there was a thick darkness in all the land of Egypt three days And Pharaoh called unto Moses, and said, Go ye, serve the LORD; only let your flocks and your herds be stayed And Moses said, Thou must give us also sacrifices and burnt offerings, that we may sacrifice unto the LORD our God.  Our cattle also shall go with us; there shall not an hoof be left behind; for thereof must we take to serve the LORD our God; and we know not with what we must serve the LORD, until we come thither.  But the LORD hardened Pharaoh's heart, and he would not let them go.  And Pharaoh said unto him, Get thee from me, take heed to thyself, see my face no more; for in that day thou seest my face thou shalt die.  And Moses said, Thou hast spoken well, I will see thy face again no more.  "
60,"And the LORD said unto Moses, Yet will I bring one plague more upon Pharaoh, and upon Egypt; afterwards he will let you go hence Speak now in the ears of the people, and let every man borrow of his neighbour, and every woman of her neighbour, jewels of silver and jewels of gold.  And the LORD gave the people favour in the sight of the Egyptians.  And Moses said, Thus saith the LORD, About midnight will I go out into the midst of Egypt And there shall be a great cry throughout all the land of Egypt, such as there was none like it, nor shall be like it any more.  But against any of the children of Israel shall not a dog move his tongue, against man or beast And all these thy servants shall come down unto me, and bow down themselves unto me, saying, Get thee out, and all the people that follow thee And the LORD said unto Moses, Pharaoh shall not hearken unto you; that my wonders may be multiplied in the land of Egypt.  And Moses and Aaron did all these wonders before Pharaoh "
61,"And the LORD spake unto Moses and Aaron in the land of Egypt saying,  Speak ye unto all the congregation of Israel, saying, In the tenth day of this month they shall take to them every man a lamb, according to the house of their fathers, a lamb for an house Your lamb shall be without blemish, a male of the first year And they shall take of the blood, and strike it on the two side posts and on the upper door post of the houses, wherein they shall eat it.  And they shall eat the flesh in that night, roast with fire, and unleavened bread; and with bitter herbs they shall eat it.  Eat not of it raw, nor sodden at all with water, but roast with fire; his head with his legs, and with the purtenance thereof.  And ye shall let nothing of it remain until the morning; and that which remaineth of it until the morning ye shall burn with fire.  And thus shall ye eat it; with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste For I will pass through the land of Egypt this night, and will smite all the firstborn in the land of Egypt, both man and beast; and against all the gods of Egypt I will execute judgment And the blood shall be to you for a token upon the houses where ye are And this day shall be unto you for a memorial; and ye shall keep it a feast to the LORD throughout your generations; ye shall keep it a feast by an ordinance for ever.  Seven days shall ye eat unleavened bread; even the first day ye shall put away leaven out of your houses And in the first day there shall be an holy convocation, and in the seventh day there shall be an holy convocation to you; no manner of work shall be done in them, save that which every man must eat, that only may be done of you.  And ye shall observe the feast of unleavened bread; for in this selfsame day have I brought your armies out of the land of Egypt In the first month, on the fourteenth day of the month at even, ye shall eat unleavened bread, until the one and twentieth day of the month at even.  Seven days shall there be no leaven found in your houses Ye shall eat nothing leavened; in all your habitations shall ye eat unleavened bread.  Then Moses called for all the elders of Israel, and said unto them, Draw out and take you a lamb according to your families, and kill the passover.  And ye shall take a bunch of hyssop, and dip it in the blood that is in the bason, and strike the lintel and the two side posts with the blood that is in the bason; and none of you shall go out at the door of his house until the morning.  For the LORD will pass through to smite the Egyptians; and when he seeth the blood upon the lintel, and on the two side posts, the LORD will pass over the door, and will not suffer the destroyer to come in unto your houses to smite you.  And ye shall observe this thing for an ordinance to thee and to thy sons for ever.  And it shall come to pass, when ye be come to the land which the LORD will give you, according as he hath promised, that ye shall keep this service.  And it shall come to pass, when your children shall say unto you, What mean ye by this service?  And the children of Israel went away, and did as the LORD had commanded Moses and Aaron, so did they.  And it came to pass, that at midnight the LORD smote all the firstborn in the land of Egypt, from the firstborn of Pharaoh that sat on his throne unto the firstborn of the captive that was in the dungeon; and all the firstborn of cattle.  And Pharaoh rose up in the night, he, and all his servants, and all the Egyptians; and there was a great cry in Egypt; for there was not a house where there was not one dead.  And he called for Moses and Aaron by night, and said, Rise up, and get you forth from among my people, both ye and the children of Israel; and go, serve the LORD, as ye have said.  Also take your flocks and your herds, as ye have said, and be gone; and bless me also.  And the Egyptians were urgent upon the people, that they might send them out of the land in haste; for they said, We be all dead men.  And the people took their dough before it was leavened, their kneadingtroughs being bound up in their clothes upon their shoulders.  And the children of Israel did according to the word of Moses; and they borrowed of the Egyptians jewels of silver, and jewels of gold, and raiment And the children of Israel journeyed from Rameses to Succoth, about six hundred thousand on foot that were men, beside children.  And a mixed multitude went up also with them; and flocks, and herds, even very much cattle.  And they baked unleavened cakes of the dough which they brought forth out of Egypt, for it was not leavened; because they were thrust out of Egypt, and could not tarry, neither had they prepared for themselves any victual.  Now the sojourning of the children of Israel, who dwelt in Egypt, was four hundred and thirty years.  And it came to pass at the end of the four hundred and thirty years, even the selfsame day it came to pass, that all the hosts of the LORD went out from the land of Egypt.  It is a night to be much observed unto the LORD for bringing them out from the land of Egypt And the LORD said unto Moses and Aaron, This is the ordinance of the passover A foreigner and an hired servant shall not eat thereof.  In one house shall it be eaten; thou shalt not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.  All the congregation of Israel shall keep it.  And when a stranger shall sojourn with thee, and will keep the passover to the LORD, let all his males be circumcised, and then let him come near and keep it; and he shall be as one that is born in the land One law shall be to him that is homeborn, and unto the stranger that sojourneth among you.  Thus did all the children of Israel; as the LORD commanded Moses and Aaron, so did they.  And it came to pass the selfsame day, that the LORD did bring the children of Israel out of the land of Egypt by their armies.  "
62,"And the LORD spake unto Moses, saying,  And Moses said unto the people, Remember this day, in which ye came out from Egypt, out of the house of bondage; for by strength of hand the LORD brought you out from this place This day came ye out in the month Abib.  And it shall be when the LORD shall bring thee into the land of the Canaanites, and the Hittites, and the Amorites, and the Hivites, and the Jebusites, which he sware unto thy fathers to give thee, a land flowing with milk and honey, that thou shalt keep this service in this month.  Seven days thou shalt eat unleavened bread, and in the seventh day shall be a feast to the LORD.  Unleavened bread shall be eaten seven days; and there shall no leavened bread be seen with thee, neither shall there be leaven seen with thee in all thy quarters.  And thou shalt shew thy son in that day, saying, This is done because of that which the LORD did unto me when I came forth out of Egypt.  And it shall be for a sign unto thee upon thine hand, and for a memorial between thine eyes, that the LORD's law may be in thy mouth Thou shalt therefore keep this ordinance in his season from year to year.  And it shall be when the LORD shall bring thee into the land of the Canaanites, as he sware unto thee and to thy fathers, and shall give it thee,  And every firstling of an ass thou shalt redeem with a lamb; and if thou wilt not redeem it, then thou shalt break his neck And it shall be when thy son asketh thee in time to come, saying, What is this? that thou shalt say unto him, By strength of hand the LORD brought us out from Egypt, from the house of bondage And it shall be for a token upon thine hand, and for frontlets between thine eyes And it came to pass, when Pharaoh had let the people go, that God led them not through the way of the land of the Philistines, although that was near; for God said, Lest peradventure the people repent when they see war, and they return to Egypt And Moses took the bones of Joseph with him And they took their journey from Succoth, and encamped in Etham, in the edge of the wilderness.  And the LORD went before them by day in a pillar of a cloud, to lead them the way; and by night in a pillar of fire, to give them light; to go by day and night "
